690,gi|6319439|ref|NP_009521.1|,RNA binding protein with similarity to hnRNP-K that localizes to the cytoplasm and to subtelomeric DNA; required for the proper localization of ASH1 mRNA; involved in the regulation of telomere position effect and telomere length; Hek2p [Saccharomyces cer,381,41683,6.1,o,Q,HEK2,YBL032W,II,5,11,0,5,11,11,15.22,0.000317,2,4,0,2,4,4,6.82,0.00010748,3,7,0,3,7,7,9.71,0.00016515,3,12,0,3,12,12,12.6,0.00034646,0.000234,4,4,8,0,4,8,8,13.65,0.00023308,3,9,0,3,9,9,9.71,0.0002898,1,2,0,1,2,2,6.3,0.00006034,3,5,0,3,5,5,12.6,0.00013726,0.00018,4,5,9,0,5,9,9,17.32,0.00024332,6,13,0,6,13,13,18.9,0.00033494,7,12,0,7,12,12,21.52,0.00033491,5,10,0,5,10,10,16.54,0.00030542,0.000305,4,5,16,0,5,16,16,16.8,0.0004011,8,19,0,8,19,19,26.25,0.00048678,5,18,0,5,18,18,16.54,0.00045488,4,15,0,4,15,15,16.27,0.00038178,0.000431,4,4,9,0,4,9,9,13.65,0.00021244,X,X,X,X,X,X,X,X,3,10,0,3,10,10,12.6,0.00030785,4,9,0,4,9,9,12.86,0.00022453,0.000248,3,5,8,0,5,8,8,16.8,0.00018394,2,5,0,2,5,5,9.71,0.00011692,7,12,0,7,12,12,21,0.00030198,5,10,0,5,10,10,19.69,0.00023041,0.000208,4,,
691,gi|6321281|ref|NP_011358.1|,"Oxidoreductase, catalyzes NADPH-dependent reduction of the bicyclic diketone bicyclo[2.2.2]octane-2,6-dione (BCO2,6D) to the chiral ketoalcohol (1R,4S,6S)-6-hydroxybicyclo[2.2.2]octane-2-one (BCO2one6ol); Ygl157wp [Saccharomyces cerevisiae] ",347,38083,5.9,o,Q,,YGL157W,VII,4,8,0,4,8,8,19.02,0.00025313,5,13,0,5,13,13,23.34,0.00038352,3,4,0,3,4,4,16.14,0.00010362,2,2,0,2,2,2,7.49,0.0000634,0.000201,4,3,6,0,3,6,6,15.27,0.00019194,3,5,0,3,5,5,16.14,0.00017678,4,7,0,4,7,7,18.16,0.00023189,2,4,0,2,4,4,9.22,0.00012057,0.00018,4,5,18,0,5,18,18,24.21,0.00053433,3,6,0,3,6,6,14.41,0.00016974,3,11,0,3,11,11,14.41,0.00033708,4,7,0,4,7,7,19.02,0.00023475,0.000319,4,2,8,0,2,8,8,11.53,0.0002202,3,5,0,3,5,5,16.14,0.00014065,2,4,0,2,4,4,11.53,0.00011099,X,X,X,X,X,X,X,X,0.000157,3,10,19,0,10,19,19,34.29,0.00049242,7,12,0,7,12,12,33.43,0.00035178,4,12,0,4,12,12,18.73,0.00040562,9,16,0,9,16,16,35.73,0.00043828,0.000422,4,7,14,0,7,14,14,29.97,0.00035343,2,4,0,2,4,4,10.95,0.0001027,6,18,0,6,18,18,25.07,0.00049735,5,17,7,4,10,12.91666667,25.65,0.00032677,0.00032,4,,
692,gi|6323719|ref|NP_013790.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR074C is not an essential gene; Ymr074cp [Saccharomyces cerevisiae] ,145,15977,4.9,o,Q,,YMR074C,XIII,1,2,0,1,2,2,10.34,0.00015144,X,X,X,X,X,X,X,X,2,5,0,2,5,5,17.24,0.00030997,2,4,0,2,4,4,17.24,0.00030345,0.000255,3,1,2,0,1,2,2,10.34,0.00015311,2,3,0,2,3,3,17.93,0.00025383,2,7,0,2,7,7,17.93,0.00055494,2,3,0,2,3,3,17.24,0.0002164,0.000295,4,1,2,0,1,2,2,10.34,0.00014208,1,2,0,1,2,2,10.34,0.0001354,1,1,0,1,1,1,10.34,0.00007333,1,1,0,1,1,1,10.34,0.00008025,0.000108,4,2,3,0,2,3,3,31.03,0.00019761,4,8,0,4,8,8,25.52,0.00053855,4,8,0,4,8,8,44.83,0.00053121,5,11,0,5,11,11,46.9,0.00073565,0.000501,4,2,4,0,2,4,4,17.93,0.00024809,1,2,0,1,2,2,10.34,0.00014031,1,3,0,1,3,3,20.69,0.00024267,1,2,0,1,2,2,10.34,0.00013111,0.000191,4,1,2,0,1,2,2,10.34,0.00012083,1,2,0,1,2,2,10.34,0.00012289,3,6,0,3,6,6,25.52,0.00039674,2,4,0,2,4,4,17.93,0.00024217,0.000221,4,,
693,gi|6321994|ref|NP_012070.1|,Non-ATPase base subunit of the 19S regulatory particle (RP) of the 26S proteasome; N-terminus plays a role in maintaining the structural integrity of the RP; binds selectively to polyubiquitin chains; homolog of the mammalian S5a protein; Rpn10p [Saccharo,268,29747,4.8,o,Q,RPN10,YHR200W,VIII,2,4,0,2,4,4,11.94,0.00016387,4,6,0,4,6,6,13.06,0.00022919,2,2,0,2,2,2,8.96,0.00006708,3,5,0,3,5,5,11.57,0.00020523,0.000166,4,4,7,0,4,7,7,15.67,0.00028994,2,6,0,2,6,6,7.46,0.00027466,3,8,0,3,8,8,16.04,0.00034314,2,4,0,2,4,4,8.96,0.00015611,0.000266,4,X,X,X,X,X,X,X,X,5,8,0,5,8,8,17.91,0.00029303,3,6,0,3,6,6,13.06,0.00023806,4,6,0,4,6,6,22.39,0.00026052,0.000264,3,7,16,0,7,16,16,31.34,0.00057021,7,21,0,7,21,21,35.07,0.00076487,4,9,0,4,9,9,20.15,0.00032333,6,15,3,6,12,12,33.21,0.00043421,0.000523,4,3,6,0,3,6,6,17.54,0.00020134,4,6,0,4,6,6,25.75,0.00022774,4,7,0,4,7,7,23.51,0.00030636,3,5,0,3,5,5,17.54,0.00017734,0.000228,4,1,2,0,1,2,2,7.09,0.00006537,2,2,0,2,2,2,7.46,0.00006649,2,3,0,2,3,3,11.94,0.00010733,2,7,0,2,7,7,8.96,0.00022929,0.000117,4,,
694,gi|6324221|ref|NP_014291.1|,Putative protein of unknown function with similarity to Tfc7p and prokaryotic phosphotransfer enzymes; null mutant shows alterations in glucose metabolism; GFP-fusion protein localizes to the cytoplasm and nucleus; Ynl108cp [Saccharomyces cerevisiae] ,270,30748,5.7,o,Q,,YNL108C,XIV,4,9,0,4,9,9,19.26,0.00036599,4,13,0,4,13,13,37.41,0.00049289,2,6,0,2,6,6,5.56,0.00019976,2,3,0,2,3,3,10,0.00012222,0.000295,4,6,9,0,6,9,9,36.3,0.00037001,3,5,0,3,5,5,28.52,0.00022719,2,3,0,2,3,3,15.56,0.00012772,1,4,0,1,4,4,5.56,0.00015495,0.00022,4,4,8,0,4,8,8,31.48,0.00030521,3,6,0,3,6,6,28.52,0.00021814,4,9,0,4,9,9,19.63,0.00035444,1,2,0,1,2,2,5.56,0.0000862,0.000241,4,2,3,0,2,3,3,17.78,0.00010612,3,4,0,3,4,4,18.52,0.00014461,4,8,0,4,8,8,31.48,0.00028528,4,9,0,4,9,9,24.07,0.00032324,0.000215,4,3,6,0,3,6,6,28.52,0.00019985,4,8,0,4,8,8,29.63,0.0003014,7,10,0,7,10,10,42.22,0.00043441,3,7,0,3,7,7,19.26,0.00024643,0.000296,4,3,7,0,3,7,7,19.26,0.00022711,X,X,X,X,X,X,X,X,5,8,0,5,8,8,24.07,0.00028408,3,6,0,3,6,6,19.26,0.00019508,0.000235,3,,
695,gi|6324669|ref|NP_014738.1|,"Ribose-5-phosphate ketol-isomerase, catalyzes the interconversion of ribose 5-phosphate and ribulose 5-phosphate in the pentose phosphate pathway; participates in pyridoxine biosynthesis; Rki1p [Saccharomyces cerevisiae] ",258,28258,5.9,o,Q,RKI1,YOR095C,XV,3,7,0,3,7,7,18.6,0.0002979,3,9,0,3,9,9,15.12,0.00035711,1,4,0,1,4,4,5.04,0.00013936,X,X,X,X,X,X,X,X,0.000265,3,2,4,0,2,4,4,10.85,0.0001721,3,4,0,3,4,4,18.6,0.00019021,1,2,0,1,2,2,4.26,0.00008911,2,5,0,2,5,5,5.04,0.0002027,0.000164,4,4,16,0,4,16,16,24.42,0.0006388,4,9,0,4,9,9,13.57,0.00034243,3,10,0,3,10,10,16.28,0.00041214,2,4,0,2,4,4,9.3,0.00018041,0.000393,4,1,1,0,1,1,1,5.04,0.00003702,3,6,0,3,6,6,15.12,0.00022701,2,3,0,2,3,3,9.3,0.00011196,3,8,0,3,8,8,15.12,0.00030069,0.000169,4,3,9,0,3,9,9,13.57,0.00031372,4,10,0,4,10,10,16.67,0.00039427,2,4,0,2,4,4,10.08,0.00018185,4,9,0,4,9,9,20.54,0.00033158,0.000305,4,2,4,0,2,4,4,9.3,0.00013582,2,2,0,2,2,2,9.3,0.00006906,4,8,0,4,8,8,20.54,0.0002973,1,4,0,1,4,4,5.04,0.0001361,0.00016,4,,
696,gi|6321335|ref|NP_011412.1|,"Ribosomal protein of the large (60S) ribosomal subunit, has similarity to E. coli L15 and rat L27a ribosomal proteins; may have peptidyl transferase activity; can mutate to cycloheximide resistance; Rpl28p [Saccharomyces cerevisiae] ",149,16722,10.6,o,Q,RPL28,YGL103W,VII,3,7,0,3,7,7,21.48,0.00051582,4,5,0,4,5,5,24.16,0.00034352,2,2,0,2,2,2,12.75,0.00012066,2,3,0,2,3,3,16.78,0.00022148,0.0003,4,4,6,0,4,6,6,28.19,0.000447,1,1,0,1,1,1,7.38,0.00008234,1,1,0,1,1,1,10.07,0.00007715,2,3,0,2,3,3,12.75,0.00021059,0.000204,4,3,5,0,3,5,5,16.78,0.00034566,4,4,0,4,4,4,34.9,0.00026353,3,4,0,3,4,4,24.16,0.00028546,2,3,0,2,3,3,12.75,0.0002343,0.000282,4,1,1,0,1,1,1,6.71,0.0000641,3,5,0,3,5,5,24.16,0.00032756,2,5,0,2,5,5,12.75,0.00032309,1,1,0,1,1,1,10.07,0.00006508,0.000195,4,4,8,1,4,7,7,34.9,0.0004225,2,2,0,2,2,2,16.78,0.00013654,2,2,0,2,2,2,17.45,0.00015744,1,1,0,1,1,1,6.04,0.00006379,0.000195,4,3,6,0,3,6,6,14.09,0.00035276,X,X,X,X,X,X,X,X,1,1,0,1,1,1,10.07,0.00006435,4,7,0,4,7,7,24.16,0.00041241,0.000277,3,,
697,gi|6324508|ref|NP_014577.1|,"Bisphosphate-3'-nucleotidase, involved in salt tolerance and methionine biogenesis; dephosphorylates 3'-phosphoadenosine-5'-phosphate and 3'-phosphoadenosine-5'-phosphosulfate, intermediates of the sulfate assimilation pathway; Met22p [Saccharomyces cerev",357,39149,6.2,o,Q,MET22,YOL064C,XV,10,18,0,10,18,18,35.57,0.00055359,3,11,0,3,11,11,13.17,0.00031543,7,12,0,7,12,12,29.69,0.00030215,5,13,0,5,13,13,19.61,0.00040057,0.000393,4,6,15,0,6,15,15,24.09,0.0004664,3,5,0,3,5,5,16.25,0.00017183,7,18,0,7,18,18,27.17,0.00057959,5,10,0,5,10,10,18.21,0.00029298,0.000378,4,4,8,0,4,8,8,19.33,0.00023083,4,9,0,4,9,9,17.93,0.00024747,3,10,0,3,10,10,15.41,0.00029785,3,4,0,3,4,4,14.85,0.00013038,0.000227,4,1,2,0,1,2,2,6.44,0.00005351,2,2,0,2,2,2,6.44,0.00005468,2,3,0,2,3,3,12.61,0.00008091,2,3,0,2,3,3,11.2,0.00008149,0.000068,4,4,7,0,4,7,7,21.01,0.00017634,3,4,0,3,4,4,15.13,0.00011398,3,4,0,3,4,4,16.25,0.00013142,X,X,X,X,X,X,X,X,0.000141,3,6,10,0,6,10,10,29.13,0.00024538,1,4,0,1,4,4,6.44,0.00009982,3,6,0,3,6,6,13.45,0.00016114,4,7,0,4,7,7,19.61,0.00017213,0.00017,4,,
698,gi|6321574|ref|NP_011651.1|,20S proteasome beta-type subunit; the only nonessential 20S subunit; Pre9p [Saccharomyces cerevisiae] ,258,28714,5.2,o,Q,PRE9,YGR135W,VII,3,7,0,3,7,7,18.99,0.0002979,1,2,0,1,2,2,5.04,0.00007936,3,5,0,3,5,5,19.77,0.00017421,X,X,X,X,X,X,X,X,0.000184,3,3,8,0,3,8,8,18.99,0.0003442,2,2,0,2,2,2,13.95,0.0000951,2,3,0,2,3,3,12.79,0.00013366,1,2,0,1,2,2,6.98,0.00008108,0.000164,4,3,5,0,3,5,5,18.99,0.00019963,4,8,0,4,8,8,14.73,0.00030438,4,8,0,4,8,8,17.44,0.00032972,2,4,0,2,4,4,12.79,0.00018041,0.000254,4,5,7,0,5,7,7,20.16,0.00025914,1,4,0,1,4,4,6.98,0.00015134,2,3,0,2,3,3,12.02,0.00011196,4,7,0,4,7,7,24.42,0.0002631,0.000196,4,1,2,0,1,2,2,6.98,0.00006971,2,5,0,2,5,5,12.02,0.00019714,4,6,0,4,6,6,22.48,0.00027277,4,6,0,4,6,6,20.93,0.00022105,0.00019,4,2,4,0,2,4,4,12.79,0.00013582,4,8,0,4,8,8,17.05,0.00027626,6,14,0,6,14,14,25.58,0.00052027,5,13,0,5,13,13,24.81,0.00044233,0.000344,4,,
699,gi|6323526|ref|NP_013597.1|,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; Coq5p [Saccharomyc",307,34685,6.6,o,Q,COQ5,YML110C,XIII,3,8,0,3,8,8,15.64,0.00028611,X,X,X,X,X,X,X,X,3,4,0,3,4,4,19.54,0.00011712,1,2,0,1,2,2,6.19,0.00007166,0.000158,3,2,2,0,2,2,2,16.29,0.00007232,3,4,0,3,4,4,19.54,0.00015985,2,4,0,2,4,4,11.07,0.00014977,2,3,0,2,3,3,10.75,0.00010221,0.000121,4,1,2,0,1,2,2,6.19,0.00006711,1,1,0,1,1,1,6.19,0.00003198,2,4,0,2,4,4,16.29,0.00013854,2,3,0,2,3,3,9.45,0.00011371,0.000088,4,8,26,0,8,26,26,42.67,0.00080889,7,25,0,7,25,25,38.76,0.00079489,9,20,0,9,20,20,42.67,0.00062724,6,17,0,6,17,17,38.76,0.00053698,0.000692,4,3,5,0,3,5,5,20.85,0.00014647,3,6,0,3,6,6,19.22,0.00019881,3,5,0,3,5,5,14.33,0.00019103,3,5,0,3,5,5,19.54,0.00015481,0.000173,4,1,1,0,1,1,1,6.19,0.00002853,2,4,0,2,4,4,11.07,0.00011608,1,4,0,1,4,4,6.19,0.00012492,2,3,0,2,3,3,11.07,0.00008578,0.000089,4,,
700,gi|6322474|ref|NP_012548.1|,"Protein of unknown function; associates with ribosomes and has a putative RNA binding domain; interacts with Tma20p; similar to human GRAP and human DRP1, which interacts with human Tma20p homolog MCT-1; Tma22p [Saccharomyces cerevisiae] ",198,22495,8.6,o,Q,TMA22,YJR014W,X,4,7,0,4,7,7,30.3,0.00038817,2,4,0,2,4,4,15.15,0.00020681,X,X,X,X,X,X,X,X,2,4,0,2,4,4,18.69,0.00022222,0.000272,3,2,3,0,2,3,3,18.69,0.00016819,2,4,0,2,4,4,15.15,0.00024785,1,3,0,1,3,3,8.59,0.00017417,2,3,0,2,3,3,13.64,0.00015847,0.000187,4,2,4,0,2,4,4,21.21,0.00020809,3,5,0,3,5,5,23.74,0.00024789,3,6,0,3,6,6,26.26,0.00032222,1,1,0,1,1,1,10.1,0.00005877,0.000209,4,4,5,0,4,5,5,36.36,0.00024119,1,4,0,1,4,4,8.59,0.0001972,4,7,0,4,7,7,36.36,0.00034039,3,4,0,3,4,4,23.74,0.0001959,0.000244,4,1,2,0,1,2,2,8.59,0.00009084,3,6,0,3,6,6,25.25,0.00030825,2,4,0,2,4,4,18.69,0.00023695,3,6,0,3,6,6,20.2,0.00028804,0.000231,4,2,3,0,2,3,3,15.15,0.00013273,1,2,0,1,2,2,8.59,0.00008999,2,6,0,2,6,6,18.69,0.00029054,2,4,0,2,4,4,13.64,0.00017734,0.000173,4,,
701,gi|6322934|ref|NP_013007.1|,Essential protein involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit; interacts with ribosomal protein L11; localizes predominantly to the nucleolus; constituent of 66S pre-ribosomal particles; Rpf2p [Saccharomyces cerevi,344,39599,9,o,Q,RPF2,YKR081C,XI,4,5,1,4,4,4,10.17,0.00012767,3,9,0,3,9,9,11.92,0.00026783,3,4,0,3,4,4,10.47,0.00010452,1,1,0,1,1,1,3.78,0.00003198,0.000133,4,3,7,0,3,7,7,10.47,0.00022588,4,9,0,4,9,9,22.38,0.00032097,4,5,0,4,5,5,12.79,0.00016708,5,10,0,5,10,10,18.02,0.00030405,0.000254,4,7,16,0,7,16,16,27.91,0.0004791,4,9,0,4,9,9,11.63,0.00025682,3,5,0,3,5,5,15.99,0.00015455,3,5,0,3,5,5,8.72,0.00016914,0.000265,4,4,6,0,4,6,6,22.09,0.00016659,6,18,0,6,18,18,28.78,0.00051076,4,11,0,4,11,11,22.38,0.00030788,5,11,0,5,11,11,26.74,0.00031009,0.000324,4,4,6,0,4,6,6,15.7,0.00015686,4,9,0,4,9,9,25.87,0.00026614,X,X,X,X,X,X,X,X,3,4,0,3,4,4,11.63,0.00011053,0.000178,3,3,8,0,3,8,8,11.63,0.00020372,2,3,0,2,3,3,6.1,0.0000777,3,3,0,3,3,3,13.08,0.00008361,3,7,0,3,7,7,8.72,0.00017863,0.000136,4,,
702,gi|6324245|ref|NP_014315.1|,"EH domain-containing protein involved in endocytosis, actin cytoskeletal organization and cell wall morphogenesis; forms a complex with Sla1p and Pan1p; End3p [Saccharomyces cerevisiae] ",349,40297,5.4,o,Q,END3,YNL084C,XIV,4,11,0,4,11,11,20.06,0.00034606,2,6,0,2,6,6,10.6,0.00017599,3,5,0,3,5,5,15.76,0.00012878,3,13,0,3,13,13,19.2,0.00040975,0.000265,4,4,7,0,4,7,7,17.48,0.00022264,5,9,0,5,9,9,25.21,0.00031638,2,6,0,2,6,6,11.75,0.00019762,3,4,0,3,4,4,15.76,0.00011988,0.000214,4,X,X,X,X,X,X,X,X,4,7,0,4,7,7,20.06,0.00019689,4,8,0,4,8,8,14.61,0.00024374,4,9,0,4,9,9,20.06,0.00030009,0.000247,3,3,7,0,3,7,7,10.89,0.00019157,1,2,0,1,2,2,6.59,0.00005594,6,12,0,6,12,12,25.21,0.00033106,4,9,0,4,9,9,19.2,0.00025007,0.000207,4,4,11,0,4,11,11,20.63,0.00028345,5,10,0,5,10,10,25.21,0.00029147,4,7,0,4,7,7,19.77,0.00023525,3,5,0,3,5,5,14.9,0.00013618,0.000237,4,2,4,0,2,4,4,10.6,0.0001004,1,1,0,1,1,1,4.01,0.00002553,4,7,0,4,7,7,21.2,0.00019231,3,3,0,3,3,3,16.05,0.00007546,0.000098,4,,
703,gi|6321398|ref|NP_011475.1|,"Delta-aminolevulinate dehydratase, a homo-octameric enzyme, catalyzes the conversion of delta-aminolevulinic acid to porphobilinogen, the second step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; Hem2p [Saccharomyces cerev",342,37740,6.1,o,Q,HEM2,YGL040C,VII,7,11,0,7,11,11,30.41,0.00035315,4,9,0,4,9,9,14.91,0.0002694,6,16,0,6,16,16,33.63,0.00042054,3,5,0,3,5,5,13.74,0.00016082,0.000301,4,2,2,0,2,2,2,8.48,0.00006491,5,8,0,5,8,8,25.44,0.00028698,X,X,X,X,X,X,X,X,3,3,0,3,3,3,18.13,0.00009175,0.000148,3,4,6,0,4,6,6,15.5,0.00018071,3,5,0,3,5,5,16.96,0.00014351,4,13,0,4,13,13,15.2,0.00040419,2,5,0,2,5,5,7.31,0.00017013,0.000225,4,4,6,0,4,6,6,21.35,0.00016756,2,4,0,2,4,4,14.62,0.00011417,6,8,0,6,8,8,23.98,0.00022522,6,8,0,6,8,8,37.43,0.00022684,0.000183,4,5,8,0,5,8,8,17.25,0.00021037,5,7,0,5,7,7,19.59,0.0002082,6,9,0,6,9,9,33.63,0.00030866,6,13,0,6,13,13,34.5,0.00036131,0.000272,4,1,1,0,1,1,1,2.92,0.00002561,2,3,0,2,3,3,8.48,0.00007815,3,5,0,3,5,5,17.84,0.00014017,6,9,0,6,9,9,35.38,0.00023101,0.000119,4,,
704,gi|6322638|ref|NP_012711.1|,"Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p; Trp3p [Saccharomyc",484,53489,6.9,o,Q,TRP3,YKL211C,XI,3,6,0,3,6,6,13.22,0.00013611,4,13,0,4,13,13,15.91,0.00027496,7,13,0,7,13,13,30.37,0.00024144,1,2,0,1,2,2,3.31,0.00004546,0.000174,4,5,9,0,5,9,9,26.03,0.00020641,4,8,0,4,8,8,17.15,0.00020278,X,X,X,X,X,X,X,X,7,11,0,7,11,11,29.13,0.00023771,0.000216,3,6,19,0,6,19,19,30.79,0.00040437,6,13,0,6,13,13,28.93,0.00026366,7,13,0,7,13,13,26.86,0.00028561,4,6,0,4,6,6,16.32,0.00014426,0.000274,4,7,16,0,7,16,16,33.68,0.00031574,7,16,0,7,16,16,33.47,0.00032269,7,15,0,7,15,15,33.47,0.00029839,6,13,0,6,13,13,28.72,0.00026046,0.000299,4,4,7,0,4,7,7,17.15,0.00013007,4,8,0,4,8,8,17.15,0.00016814,5,8,0,5,8,8,21.69,0.00019387,5,8,0,5,8,8,21.28,0.00015711,0.000162,4,4,9,0,4,9,9,20.04,0.0001629,1,4,0,1,4,4,3.31,0.00007363,3,5,0,3,5,5,16.74,0.00009905,2,3,0,2,3,3,11.16,0.00005441,0.000097,4,,
705,gi|6323669|ref|NP_013740.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR027W is not an essential gene; Ymr027wp [Saccharomyces cerevisiae] ,470,54129,5.6,o,Q,,YMR027W,XIII,4,17,0,4,17,17,12.13,0.00039713,4,9,0,4,9,9,11.49,0.00019603,3,13,0,3,13,13,9.79,0.00024863,5,20,0,5,20,20,14.04,0.00046809,0.000327,4,2,3,0,2,3,3,4.47,0.00007085,3,5,0,3,5,5,8.51,0.00013051,4,11,1,4,10,10,11.49,0.00024458,3,11,1,3,10,10,7.66,0.00022254,0.000167,4,X,X,X,X,X,X,X,X,3,5,0,3,5,5,9.36,0.00010443,3,6,0,3,6,6,6.81,0.00013574,3,7,0,3,7,7,6.38,0.00017331,0.000138,3,3,10,0,3,10,10,9.57,0.00020321,6,14,0,6,14,14,16.6,0.00029076,4,11,0,4,11,11,10.85,0.00022534,6,13,0,6,13,13,17.45,0.00026822,0.000247,4,6,12,0,6,12,12,15.74,0.00022961,5,11,0,5,11,11,15.74,0.00023807,8,16,2,8,14,14,23.83,0.00034938,8,14,0,8,14,14,19.57,0.00028313,0.000275,4,3,3,0,3,3,3,9.79,0.00005592,1,1,0,1,1,1,4.04,0.00001896,2,2,1,2,1,1,5.53,0.0000204,5,7,0,5,7,7,14.04,0.00013074,0.000057,4,,
706,gi|6323482|ref|NP_013554.1|,"Peptidyl-prolyl cis-trans isomerase (PPIase) (proline isomerase) localized to the nucleus; catalyzes isomerization of proline residues in histones H3 and H4, which affects lysine methylation of those histones; Fpr4p [Saccharomyces cerevisiae] ",392,43903,4.7,o,Q,FPR4,YLR449W,XII,1,4,0,1,4,4,5.36,0.00011204,2,7,0,2,7,7,9.18,0.0001828,3,5,0,3,5,5,12.5,0.00011466,2,5,0,2,5,5,6.89,0.00014031,0.000137,4,5,7,0,5,7,7,11.48,0.00019822,4,8,0,4,8,8,8.42,0.00025037,5,8,2,4,6,7.090909091,21.43,0.00020794,5,11,0,5,11,11,14.03,0.0002935,0.000238,4,5,17,0,5,17,17,15.31,0.00044671,5,11,0,5,11,11,18.88,0.00027546,7,20,0,7,20,20,19.39,0.00054252,7,11,0,7,11,11,18.37,0.00032654,0.000398,4,2,6,0,2,6,6,8.42,0.00014619,5,7,0,5,7,7,18.37,0.00017431,2,2,0,2,2,2,8.42,0.00004912,X,X,X,X,X,X,X,X,0.000123,3,1,3,0,1,3,3,5.36,0.00006883,2,6,0,2,6,6,8.42,0.0001557,3,9,0,3,9,9,9.18,0.00026929,3,4,0,3,4,4,8.16,0.00009699,0.000148,4,5,7,0,5,7,7,15.31,0.00015643,5,6,0,5,6,6,12.24,0.00013637,1,4,0,1,4,4,5.36,0.00009784,7,12,0,7,12,12,15.56,0.00026873,0.000165,4,,
707,gi|6322156|ref|NP_012231.1|,"Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation; Bcy1p [Saccharomyc",416,47219,8,o,Q,BCY1,YIL033C,IX,4,9,0,4,9,9,18.03,0.00023754,2,4,0,2,4,4,4.33,0.00009843,5,11,0,5,11,11,20.43,0.00023769,2,4,0,2,4,4,7.45,0.00010577,0.00017,4,4,10,0,4,10,10,18.03,0.00026684,3,4,0,3,4,4,11.3,0.00011796,2,3,0,2,3,3,8.89,0.0000829,1,2,0,1,2,2,2.4,0.00005029,0.000129,4,2,4,0,2,4,4,10.1,0.00009905,2,3,0,2,3,3,6.25,0.00007079,1,2,0,1,2,2,3.37,0.00005112,1,2,0,1,2,2,2.4,0.00005595,0.000069,4,5,18,0,5,18,18,22.6,0.00041327,7,14,0,7,14,14,24.04,0.0003285,5,8,0,5,8,8,24.76,0.00018516,8,19,0,8,19,19,33.65,0.0004429,0.000342,4,4,9,0,4,9,9,11.78,0.00019457,8,16,0,8,16,16,32.45,0.00039124,4,11,0,4,11,11,9.13,0.00031014,8,16,0,8,16,16,28.37,0.00036559,0.000315,4,3,5,0,3,5,5,11.3,0.00010529,X,X,X,X,X,X,X,X,3,5,0,3,5,5,11.3,0.00011524,5,11,1,5,10,10,22.84,0.00021102,0.000144,3,,
708,gi|6322075|ref|NP_012150.1|,"Histidinol-phosphate aminotransferase, catalyzes the seventh step in histidine biosynthesis; responsive to general control of amino acid biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; His5p [Saccharomyces cerev",385,42646,6.4,o,Q,HIS5,YIL116W,IX,6,9,0,6,9,9,20,0.00025667,5,10,0,5,10,10,20.26,0.0002659,5,9,0,5,9,9,14.55,0.00021013,2,4,0,2,4,4,7.53,0.00011429,0.000212,4,6,10,0,6,10,10,23.38,0.00028832,5,8,0,5,8,8,16.36,0.00025493,3,3,0,3,3,3,8.57,0.00008957,5,8,0,5,8,8,14.03,0.00021734,0.000213,4,3,6,0,3,6,6,12.73,0.00016053,7,12,0,7,12,12,24.68,0.00030596,5,16,0,5,16,16,19.22,0.0004419,2,4,0,2,4,4,6.23,0.0001209,0.000257,4,X,X,X,X,X,X,X,X,3,4,0,3,4,4,10.13,0.00010142,1,2,0,1,2,2,3.9,0.00005002,2,3,0,2,3,3,7.53,0.00007556,0.000076,3,7,12,0,7,12,12,26.49,0.00028031,4,9,0,4,9,9,12.47,0.00023779,1,1,0,1,1,1,3.12,0.00003047,4,6,0,4,6,6,12.47,0.00014813,0.000174,4,5,14,0,5,14,14,18.96,0.00031855,2,3,0,2,3,3,5.71,0.00006942,3,6,0,3,6,6,9.09,0.00014942,5,13,0,5,13,13,14.29,0.00029642,0.000208,4,,
